date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2023-Jul-14 00:00,*,,39.32250,14.13433,-2.259,5.355,338.292986,3.598021,5.21534322468691,69.9581,/L
2023-Jul-15 00:00,*,,39.46802,14.17721,-2.265,5.356,128.753552,3.603892,5.20101780710216,70.7645,/L
2023-Jul-16 00:00,*,,39.61149,14.21932,-2.270,5.357,279.216647,3.609740,5.18661907396416,71.5732,/L
2023-Jul-17 00:00,*,m,39.75288,14.26064,-2.275,5.357,69.682274,3.615562,5.17215083302904,72.3842,/L
2023-Jul-18 00:00,*,m,39.89215,14.30117,-2.281,5.358,220.150461,3.621359,5.15761474250478,73.1975,/L
2023-Jul-19 00:00,*,m,40.02926,14.34090,-2.286,5.359,10.621214,3.627132,5.14301435113599,74.0131,/L
2023-Jul-20 00:00,*,m,40.16419,14.37982,-2.292,5.359,161.094556,3.632879,5.12835262137143,74.8312,/L
2023-Jul-21 00:00,*,m,40.29690,14.41793,-2.297,5.360,311.570496,3.638601,5.11363209578089,75.6516,/L
2023-Jul-22 00:00,*,m,40.42735,14.45522,-2.303,5.360,102.049058,3.644296,5.09885682204913,76.4744,/L
2023-Jul-23 00:00,*,m,40.55552,14.49169,-2.309,5.361,252.530248,3.649965,5.08402989141922,77.2998,/L
2023-Jul-24 00:00,*,m,40.68139,14.52733,-2.314,5.361,43.014064,3.655605,5.06915556399042,78.1276,/L
2023-Jul-25 00:00,*,m,40.80493,14.56215,-2.320,5.362,193.500527,3.661216,5.05423563099737,78.9579,/L
2023-Jul-26 00:00,*,m,40.92613,14.59615,-2.326,5.362,343.989638,3.666799,5.03927401760260,79.7907,/L
2023-Jul-27 00:00,*,m,41.04496,14.62931,-2.332,5.362,134.481419,3.672351,5.02427360042415,80.6261,/L
2023-Jul-28 00:00,*,m,41.16139,14.66164,-2.338,5.363,284.975869,3.677873,5.00923726660689,81.4641,/L
2023-Jul-29 00:00,*,m,41.27539,14.69315,-2.345,5.363,75.473012,3.683363,4.99416870538538,82.3047,/L
2023-Jul-30 00:00,*,m,41.38693,14.72382,-2.351,5.363,225.972849,3.688820,4.97907107222945,83.1480,/L
2023-Jul-31 00:00,*,m,41.49599,14.75366,-2.357,5.364,16.475379,3.694243,4.96394847210939,83.9941,/L
2023-Aug-01 00:00,*,m,41.60252,14.78266,-2.364,5.364,166.980616,3.699633,4.94880233658562,84.8429,/L
2023-Aug-02 00:00,*,,41.70649,14.81081,-2.370,5.364,317.488566,3.704987,4.93363629506968,85.6945,/L
2023-Aug-03 00:00,*,,41.80786,14.83811,-2.376,5.364,107.999254,3.710306,4.91845260027332,86.5490,/L
2023-Aug-04 00:00,*,,41.90661,14.86454,-2.383,5.364,258.512683,3.715590,4.90325405787880,87.4065,/L
2023-Aug-05 00:00,*,,42.00270,14.89011,-2.390,5.365,49.028887,3.720839,4.88804376062714,88.2669,/L
2023-Aug-06 00:00,*,,42.09611,14.91479,-2.396,5.365,199.547872,3.726051,4.87282505848611,89.1304,/L
2023-Aug-07 00:00,*,,42.18682,14.93860,-2.403,5.365,350.069649,3.731227,4.85760227720955,89.9971,/L
2023-Aug-08 00:00,*,,42.27481,14.96154,-2.410,5.365,140.594233,3.736366,4.84237739231543,90.8668,/L
2023-Aug-09 00:00,*,,42.36004,14.98359,-2.417,5.365,291.121636,3.741468,4.82715476900913,91.7398,/L
2023-Aug-10 00:00,*,,42.44247,15.00476,-2.424,5.365,81.651880,3.746533,4.81193736594201,92.6160,/L
2023-Aug-11 00:00,*,,42.52208,15.02504,-2.431,5.364,232.184966,3.751559,4.79672920928394,93.4955,/L
2023-Aug-12 00:00,C,,42.59880,15.04443,-2.438,5.364,22.720924,3.756547,4.78153398053424,94.3782,/L
2023-Aug-13 00:00,C,,42.67262,15.06291,-2.445,5.364,173.259752,3.761495,4.76635616888408,95.2643,/L
2023-Aug-14 00:00,C,,42.74350,15.08048,-2.452,5.364,323.801454,3.766402,4.75120084202573,96.1538,/L
2023-Aug-15 00:00,C,,42.81141,15.09714,-2.459,5.364,114.346030,3.771266,4.73607083484879,97.0466,/L
2023-Aug-16 00:00,C,m,42.87632,15.11289,-2.466,5.363,264.893486,3.776086,4.72097105795978,97.9427,/L
2023-Aug-17 00:00,C,m,42.93821,15.12771,-2.474,5.363,55.443832,3.780862,4.70590484064425,98.8423,/L
2023-Aug-18 00:00,C,m,42.99706,15.14161,-2.481,5.363,205.997058,3.785592,4.69087681360156,99.7453,/L
2023-Aug-19 00:00,C,m,43.05284,15.15458,-2.489,5.362,356.553185,3.790274,4.67589058877799,100.6517,/L
2023-Aug-20 00:00,C,m,43.10553,15.16661,-2.496,5.362,147.112202,3.794907,4.66095108930368,101.5616,/L
2023-Aug-21 00:00,C,m,43.15511,15.17772,-2.503,5.362,297.674108,3.799488,4.64606340188621,102.4749,/L
2023-Aug-22 00:00,C,m,43.20158,15.18789,-2.511,5.361,88.238888,3.804017,4.63123069783529,103.3918,/L
2023-Aug-23 00:00,C,m,43.24493,15.19714,-2.518,5.361,238.806543,3.808490,4.61645783569278,104.3121,/L
2023-Aug-24 00:00,C,m,43.28513,15.20545,-2.526,5.360,29.377073,3.812908,4.60174812514845,105.2359,/L
2023-Aug-25 00:00,C,m,43.32218,15.21284,-2.534,5.359,179.950460,3.817266,4.58710635400110,106.1632,/L
2023-Aug-26 00:00,C,m,43.35605,15.21930,-2.541,5.359,330.526718,3.821565,4.57253574819896,107.0941,/L
2023-Aug-27 00:00,C,m,43.38672,15.22484,-2.549,5.358,121.105828,3.825802,4.55804129392773,108.0285,/L
2023-Aug-28 00:00,C,m,43.41416,15.22944,-2.557,5.357,271.687785,3.829973,4.54362770169721,108.9665,/L
2023-Aug-29 00:00,C,m,43.43837,15.23312,-2.564,5.357,62.272565,3.834079,4.52929816818428,109.9081,/L
2023-Aug-30 00:00,C,m,43.45933,15.23585,-2.572,5.356,212.860167,3.838116,4.51505705574375,110.8534,/L
2023-Aug-31 00:00,N,m,43.47702,15.23765,-2.580,5.355,3.450585,3.842085,4.50090736383499,111.8023,/L
2023-Sep-01 00:00,N,,43.49143,15.23850,-2.588,5.354,154.043804,3.845983,4.48685370352451,112.7550,/L
2023-Sep-02 00:00,N,,43.50256,15.23840,-2.595,5.354,304.639835,3.849809,4.47289886041766,113.7114,/L
2023-Sep-03 00:00,N,,43.51040,15.23735,-2.603,5.353,95.238662,3.853562,4.45904794896868,114.6716,/L
2023-Sep-04 00:00,N,,43.51493,15.23535,-2.611,5.352,245.840280,3.857240,4.44530565206051,115.6357,/L
2023-Sep-05 00:00,N,,43.51618,15.23242,-2.619,5.351,36.444663,3.860842,4.43167587511566,116.6036,/L
2023-Sep-06 00:00,N,,43.51412,15.22854,-2.626,5.350,187.051807,3.864365,4.41816330908986,117.5754,/L
2023-Sep-07 00:00,N,,43.50874,15.22372,-2.634,5.349,337.661695,3.867809,4.40477172539347,118.5511,/L
2023-Sep-08 00:00,N,,43.50003,15.21795,-2.642,5.348,128.274307,3.871171,4.39150653694662,119.5308,/L
2023-Sep-09 00:00,N,,43.48797,15.21124,-2.650,5.347,278.889637,3.874451,4.37837110590038,120.5143,/L
2023-Sep-10 00:00,N,,43.47256,15.20359,-2.657,5.346,69.507657,3.877645,4.36537134749842,121.5017,/L
2023-Sep-11 00:00,N,,43.45378,15.19498,-2.665,5.345,220.128349,3.880750,4.35251235525723,122.4931,/L
2023-Sep-12 00:00,N,,43.43166,15.18543,-2.672,5.344,10.751664,3.883764,4.33979890013900,123.4884,/L
2023-Sep-13 00:00,N,,43.40620,15.17493,-2.680,5.343,161.377585,3.886684,4.32723582397329,124.4875,/L
2023-Sep-14 00:00,N,,43.37740,15.16349,-2.688,5.341,312.006072,3.889509,4.31482734860392,125.4905,/L
2023-Sep-15 00:00,N,,43.34528,15.15111,-2.695,5.340,102.637089,3.892236,4.30257908439264,126.4974,/L
2023-Sep-16 00:00,N,,43.30987,15.13780,-2.703,5.339,253.270608,3.894861,4.29049442105237,127.5081,/L
2023-Sep-17 00:00,N,,43.27116,15.12356,-2.710,5.338,43.906585,3.897383,4.27857933551510,128.5226,/L
2023-Sep-18 00:00,N,m,43.22919,15.10839,-2.717,5.337,194.544984,3.899797,4.26683865284442,129.5408,/L
