date_utc,twilight,moon,ra_deg,dec_deg,mag,surf_brt,sub_lon,sub_lat,distance_au,elong_deg,elong_dir
2029-Jan-23 00:00,,m,33.25022,10.82551,0.298,6.322,286.655995,-20.701819,9.12124592814976,91.4389,/T
2029-Jan-24 00:00,,m,33.28058,10.84120,0.301,6.322,17.341225,-20.720926,9.13784242620321,90.4561,/T
2029-Jan-25 00:00,,m,33.31267,10.85747,0.305,6.321,108.024685,-20.740738,9.15443998471512,89.4753,/T
2029-Jan-26 00:00,,m,33.34648,10.87432,0.308,6.321,198.706411,-20.761248,9.17103372744975,88.4966,/T
2029-Jan-27 00:00,,m,33.38201,10.89173,0.312,6.320,289.386433,-20.782449,9.18761891664481,87.5200,/T
2029-Jan-28 00:00,,m,33.41923,10.90970,0.315,6.320,20.064786,-20.804333,9.20419084868703,86.5454,/T
2029-Jan-29 00:00,,m,33.45812,10.92823,0.318,6.319,110.741501,-20.826894,9.22074497883065,85.5728,/T
2029-Jan-30 00:00,,m,33.49867,10.94730,0.321,6.318,201.416613,-20.850122,9.23727680390541,84.6022,/T
2029-Jan-31 00:00,,m,33.54086,10.96690,0.324,6.317,292.090153,-20.874012,9.25378196506637,83.6336,/T
2029-Feb-01 00:00,,,33.58468,10.98704,0.327,6.316,22.762152,-20.898556,9.27025624859794,82.6670,/T
2029-Feb-02 00:00,,,33.63013,11.00769,0.330,6.316,113.432640,-20.923745,9.28669544104242,81.7023,/T
2029-Feb-03 00:00,,,33.67720,11.02886,0.333,6.315,204.101650,-20.949574,9.30309531436850,80.7395,/T
2029-Feb-04 00:00,,,33.72588,11.05055,0.336,6.314,294.769210,-20.976034,9.31945165095098,79.7786,/T
2029-Feb-05 00:00,,,33.77618,11.07275,0.339,6.312,25.435351,-21.003118,9.33576018223255,78.8196,/T
2029-Feb-06 00:00,,,33.82809,11.09546,0.341,6.311,116.100103,-21.030818,9.35201662252491,77.8624,/T
2029-Feb-07 00:00,,,33.88160,11.11868,0.344,6.310,206.763496,-21.059124,9.36821659540574,76.9071,/T
2029-Feb-08 00:00,,,33.93668,11.14239,0.346,6.309,297.425563,-21.088030,9.38435557150294,75.9537,/T
